quote,author,tags,author_link,word_count,tag_count,character_count,source_url
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,"change, deep-thoughts, thinking, world",http://quotes.toscrape.com/author/Albert-Einstein,21,4,115,http://quotes.toscrape.com/page/1/
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,"abilities, choices",http://quotes.toscrape.com/author/J-K-Rowling,16,2,85,http://quotes.toscrape.com/page/1/
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,"inspirational, life, live, miracle, miracles",http://quotes.toscrape.com/author/Albert-Einstein,26,5,131,http://quotes.toscrape.com/page/1/
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,"aliteracy, books, classic, humor",http://quotes.toscrape.com/author/Jane-Austen,19,4,104,http://quotes.toscrape.com/page/1/
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,"be-yourself, inspirational",http://quotes.toscrape.com/author/Marilyn-Monroe,16,2,111,http://quotes.toscrape.com/page/1/
Try not to become a man of success. Rather become a man of value.,Albert Einstein,"adulthood, success, value",http://quotes.toscrape.com/author/Albert-Einstein,14,3,67,http://quotes.toscrape.com/page/1/
It is better to be hated for what you are than to be loved for what you are not.,André Gide,"life, love",http://quotes.toscrape.com/author/Andre-Gide,19,2,82,http://quotes.toscrape.com/page/1/
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"edison, failure, inspirational, paraphrased",http://quotes.toscrape.com/author/Thomas-A-Edison,12,4,65,http://quotes.toscrape.com/page/1/
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,misattributed-eleanor-roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt,19,1,85,http://quotes.toscrape.com/page/1/
"A day without sunshine is like, you know, night.",Steve Martin,"humor, obvious, simile",http://quotes.toscrape.com/author/Steve-Martin,9,3,50,http://quotes.toscrape.com/page/1/
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J.K. Rowling,"courage, friends",http://quotes.toscrape.com/author/J-K-Rowling,23,2,107,http://quotes.toscrape.com/page/2/
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,"simplicity, understand",http://quotes.toscrape.com/author/Albert-Einstein,15,2,78,http://quotes.toscrape.com/page/2/
